Regularization,C,Dataset,Pipeline,pr_auc_mean,pr_auc_std,f1_mean,f1_std
ElasticNet(l1=0.5),10.0,uci_seizure,B,0.4804248283605005,0.010796484866342911,0.10485167054759414,0.013396019658613478
ElasticNet(l1=0.7),10.0,uci_seizure,B,0.48055481330573546,0.010735332152569273,0.10485167054759414,0.013396019658613478
L1,0.01,bonn_eeg,A,0.4,0.0,0.0,0.0
L1,0.1,bonn_eeg,A,0.877151356772113,0.03218863770017712,0.6963402233309574,0.07101148541078013
L1,1.0,bonn_eeg,A,0.8835371981092441,0.02684700510994542,0.741561528094547,0.0573186473532626
L1,10.0,bonn_eeg,A,0.8826635296196936,0.026904453759658147,0.75023612921918,0.04820610075033737
L2,0.01,bonn_eeg,A,0.8732435035764533,0.016206135809917463,0.5771376324271275,0.10037425417336782
L2,0.1,bonn_eeg,A,0.8744823656263693,0.020758051830063236,0.679804927368155,0.07368947695257574
L2,1.0,bonn_eeg,A,0.8799960094602135,0.027971289782684244,0.7244362745098039,0.06141452630081549
L2,10.0,bonn_eeg,A,0.8818636125410515,0.027224103278243813,0.7388443088730904,0.05288171010414277
ElasticNet(l1=0.3),0.01,bonn_eeg,A,0.8753974287811657,0.03086988853053369,0.46593605685937123,0.12654217529176734
ElasticNet(l1=0.5),0.01,bonn_eeg,A,0.8201119114933372,0.062252731235825934,0.39347666279033267,0.10318480239045946
ElasticNet(l1=0.7),0.01,bonn_eeg,A,0.8164127527363527,0.057484353953956485,0.13474669474669473,0.0945634866662999
ElasticNet(l1=0.3),0.1,bonn_eeg,A,0.8766695855761709,0.02601566202272315,0.6762035658118328,0.07497670999174329
ElasticNet(l1=0.5),0.1,bonn_eeg,A,0.8767229717795135,0.02667665592567613,0.6909200665821273,0.06168298780923326
ElasticNet(l1=0.7),0.1,bonn_eeg,A,0.8771962207501234,0.0303416858273499,0.6824394586983384,0.06302725515465867
ElasticNet(l1=0.3),1.0,bonn_eeg,A,0.880099013109994,0.026890953908224186,0.7244362745098039,0.06141452630081549
ElasticNet(l1=0.5),1.0,bonn_eeg,A,0.8814306559882201,0.027211688367902265,0.7294136500754147,0.06071360176364292
ElasticNet(l1=0.7),1.0,bonn_eeg,A,0.8822861523051884,0.0274927400785793,0.7391805757135945,0.060067095203956075
ElasticNet(l1=0.3),10.0,bonn_eeg,A,0.8816953160441287,0.02669158762297043,0.7456239698900395,0.04642050475363552
ElasticNet(l1=0.5),10.0,bonn_eeg,A,0.8821498669714684,0.027420729481406652,0.7456239698900395,0.04642050475363552
ElasticNet(l1=0.7),10.0,bonn_eeg,A,0.882282463017235,0.0273918598889872,0.75023612921918,0.04820610075033737
L1,0.01,bonn_eeg,B,0.7657582004728798,0.08306698988913973,0.0,0.0
L1,0.1,bonn_eeg,B,0.8744314140182154,0.03097088680994472,0.7137286575735913,0.10224252510427723
L1,1.0,bonn_eeg,B,0.8794589551792601,0.02875770852675058,0.7244362745098039,0.06141452630081549
L1,10.0,bonn_eeg,B,0.8803464910916092,0.028461525932354043,0.7289837096454743,0.063599231301396
L2,0.01,bonn_eeg,B,0.870237956689303,0.011877764491185576,0.5634123103450446,0.1086193711937488
L2,0.1,bonn_eeg,B,0.870302615414969,0.018298814943445443,0.6799446897720683,0.07501175478368645
L2,1.0,bonn_eeg,B,0.8769876539161088,0.028635407205287445,0.7046561574019201,0.06378683419674819
L2,10.0,bonn_eeg,B,0.8805932261368123,0.028149871636210282,0.7317789577237412,0.06435715583021849
ElasticNet(l1=0.3),0.01,bonn_eeg,B,0.8702543198195517,0.031350919530032724,0.5041009109094216,0.10681380433977179
ElasticNet(l1=0.5),0.01,bonn_eeg,B,0.8324671385936018,0.06065508594084138,0.43033118097989576,0.11763675392469834
ElasticNet(l1=0.7),0.01,bonn_eeg,B,0.7880703424543413,0.08521051136101757,0.3455375328425944,0.15150121999270577
ElasticNet(l1=0.3),0.1,bonn_eeg,B,0.8751421750435588,0.019681442784023673,0.6737729430310859,0.08676152025814776
ElasticNet(l1=0.5),0.1,bonn_eeg,B,0.8750529910499953,0.022197124210411277,0.6739721518873425,0.08757355593960549
ElasticNet(l1=0.7),0.1,bonn_eeg,B,0.8731601137859976,0.02471031487978778,0.6856773047635244,0.0782315104849053
ElasticNet(l1=0.3),1.0,bonn_eeg,B,0.8779656554354839,0.028335705164003317,0.7122568704143978,0.06063108644244161
ElasticNet(l1=0.5),1.0,bonn_eeg,B,0.8781088785329836,0.028700413053511013,0.7192598039215685,0.06380450681848317
ElasticNet(l1=0.7),1.0,bonn_eeg,B,0.8788874849774159,0.029893607967157468,0.7192598039215685,0.06380450681848317
ElasticNet(l1=0.3),10.0,bonn_eeg,B,0.8807772168018457,0.028004072891532464,0.7317789577237412,0.06435715583021849
ElasticNet(l1=0.5),10.0,bonn_eeg,B,0.8805644391864164,0.028126366718349775,0.7317789577237412,0.06435715583021849
ElasticNet(l1=0.7),10.0,bonn_eeg,B,0.8807440368875656,0.02819346228252477,0.7289837096454743,0.063599231301396
L1,0.01,bonn_eeg,C,0.6791840832619401,0.013137208786691449,0.2689177556322463,0.13556275200011733
L1,0.1,bonn_eeg,C,0.7501151681376873,0.045214824477751575,0.5669155816017003,0.08268285114850206
